"","name","value"
"1",1,15.3716816816854
"2",2,16.5797552332143
"3",3,11.7567528580582
"4",4,12.1842402260126
"5",5,7.9497960342032
"6",6,16.6520359435163
"7",7,10.2072207761231
"8",8,9.1966417122991
"9",9,17.27747099381
"10",10,13.7202871831729
"11",11,18.778171241814
"12",12,13.0636483877023
"13",13,16.505992168171
"14",14,18.9092864270288
"15",15,10.0798631647864
"16",16,15.8846686685426
"17",17,17.3809604416517
"18",18,19.9364624673549
"19",19,16.0921997563101
"20",20,22.2054863643936
"21",21,14.2454964393774
"22",22,12.9978406404504
"23",23,16.385995724414
"24",24,17.9377706317663
"25",25,12.3319031188418
"26",26,14.5068814734761
"27",27,21.7322146163634
"28",28,18.1263848657699
"29",29,17.2868014365181
"30",30,20.0802268391471
"31",31,12.1903492510636
"32",32,15.5303410964468
"33",33,13.3667253703159
"34",34,14.1324985423491
"35",35,21.1283540074216
"36",36,17.1945899114248
"37",37,15.4777527971466
"38",38,15.128135292952
"39",39,13.4785613104461
"40",40,16.184039362104
"41",41,16.0427662209591
"42",42,15.0682443887316
"43",43,13.3934030577269
"44",44,16.8538288207777
"45",45,16.1360349231186
"46",46,15.4397394242702
"47",47,12.9882147289799
"48",48,15.9523249863375
"49",49,20.8549939720638
"50",50,14.8344432885096
"51",51,15.989427988866
"52",52,12.1713897202271
"53",53,10.11721704038
"54",54,10.0220571786859
"55",55,13.7751325348802
"56",56,15.0360417802663
"57",57,9.25310725184032
"58",58,13.1501958867801
"59",59,15.7141253539866
"60",60,16.3561644611846
"61",61,18.3635256633421
"62",62,16.5181510088113
"63",63,20.7537259770113
"64",64,14.4880881551226
"65",65,21.0109244176146
"66",66,16.4912741505567
"67",67,17.4945581089128
"68",68,15.2516612456511
"69",69,13.2581716864604
"70",70,12.6106568616297
"71",71,15.2830002162352
"72",72,14.7271923422662
"73",73,14.1292761164797
"74",74,15.0939382841753
"75",75,12.832302752214
"76",76,11.210267040651
"77",77,13.6911954982589
"78",78,14.9758248321139
"79",79,19.0013807419716
"80",80,12.1282584117612
"81",81,20.7630877406203
"82",82,16.8287005654422
"83",83,10.7836517131725
"84",84,14.6738997510578
"85",85,15.0266641886171
"86",86,16.3998126234386
"87",87,17.5027758249032
"88",88,16.006001238013
"89",89,17.2096137577608
"90",90,16.0377978551924
"91",91,23.6864611798963
"92",92,13.3215715093283
"93",93,14.3388393495974
"94",94,10.1747139109144
"95",95,19.6520893099938
"96",96,16.6955463323244
"97",97,12.352781420701
"98",98,16.4798156453406
"99",99,14.4111497494355
"100",100,15.2855641236262
"101",101,13.6537469130235
"102",102,7.11069057811153
"103",103,16.6297531059329
"104",104,22.1990362732193
"105",105,13.510957159238
"106",106,14.2872756741211
"107",107,17.8003835747141
"108",108,19.1798941676522
"109",109,14.3588103928296
"110",110,20.5262461470099
"111",111,16.7786786666264
"112",112,13.7919227760742
"113",113,19.440872586745
"114",114,13.2169437316925
"115",115,10.675393145097
"116",116,16.654878092758
"117",117,20.7142325908254
"118",118,13.0160909753008
"119",119,16.3087298489094
"120",120,14.2451629044334
"121",121,15.7165247071485
"122",122,17.5825425734835
"123",123,14.1127148669471
"124",124,18.4101969092278
"125",125,14.9927958724866
